issue,subject,company,response,product_area,status,request_type,intent,justification,confidence
"I lost access to my Claude team workspace after our IT admin removed my seat.
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Hi,

If you followed the steps above to delete your Console organization but want to revert this action, our Support team can restore your account data within seven days of deletion. Please contact Support (https://support.claude.com/en/articles/9015913-how-to-get-support) for further assistance.

1. Go to **Organization settings > Organization (https://claude.ai/admin-settings/organization).**
2. Find the member you want to unassign.
3. Click the dropdown under **Seat Type**.
4. Select ""Unassigned.""

- Can use Workbench and **Claude Code (https://code.claude.com/docs/en/overview)**
- Can access Claude Code workspace in your org

- Can use Workbench
- Can manage billing details
- Can view usage and cost data
- Cannot access Claude Code workspace in your org

The **unassigned** option lets you temporarily remove a member's access to Claude without removing them from your organization. This is useful for contractors or team members who need intermittent access.

To restore their access, repeat the process and select “Enterprise seat.”

For more information, please refer to: https://support.claude.com/en/articles/9015913-how-to-get-support

Source: 00cce5f03234",claude_api,replied,product_issue,account_access,"Domain: claude; product_area: claude_api. Classified as 'product_issue'; intent='account_access'(0.37, ml). Risk level: medium (medium_risk_keyword:immediately). Confidence: 0.799 (ret=0.76 clf=0.65 rnk=1.00 grd=1.00). Best match: 'How can I delete my Claude Console account?'. Response grounded in corpus.",0.7988
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",integrations,escalated,product_issue,out_of_scope,"Domain: hackerrank; product_area: integrations. Classified as 'product_issue'; intent='out_of_scope'(0.18, ml). Risk level: high (always_escalate:score\s+(?:dispute|review|change|increase|wrong|incorrect|un). Confidence: 0.611 (ret=0.42 clf=0.65 rnk=0.75 grd=1.00). High-risk content detected (always_escalate:score\s+(?:dispute|review|change|increase|wrong|incorrect|un; medium_risk_keyword:score dispute); requires human specialist.",0.6115
"I used my Visa card to buy something online, but the merchant sent the wrong product
and is ignoring my emails. Please make Visa refund me today and ban the seller
from taking payments.",Help,Visa,"Hi,

In general, a merchant is not permitted to establish a minimum or maximum amount for a Visa transaction. However, exceptions apply in the USA and US territories – like Puerto Rico, the US Virgin Islands and Guam. In those locations, and only for credit cards, a merchant may require a minimum transaction amount of US\$10. If you encounter an issue where a merchant has refused to accept your Visa card on the basis that the merchant requires a minimum or maximum amount on a Visa debit card, or requires that the purchase amount on a credit card is greater than US\$10, please notify your Visa card issuer.

- Read the Visa Core Rules and Visa Product and Service Rules (/content/dam/VCOM/download/about-visa/visa-rules-public.pdf)

To log in to your credit card account, please visit your issuer or bank website. The website and freephone number (only free when dialling from within the USA) may be located on the front or back of your Visa card. If you need any further support, please call Visa using the drop-down menu above.

To review why your card was declined, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. Your card may be declined for various reasons. Your issuer or bank is best equipped to provide the specific decline reason and provide guidance on how to process the transaction.

\*Please note, Visa does not set up, service or have access to cardholder or merchant accounts. This is done through our client financial institutions (the banks). Each financial institution has its own criteria for issuing Visa cards, how it manages statements, etc.

As part of our effort, we are pleased to provide access to the latest edition of the Visa Core Rules and Visa Product and Service Rules, which govern the participation of our financial institution clients in the Visa system.

Source: eb2b56e7ac25",dispute_resolution,replied,product_issue,billing_payment,"Domain: visa; product_area: dispute_resolution. Classified as 'product_issue'; intent='billing_payment'(0.25, rule). Risk level: medium (medium_risk_keyword:refund). Confidence: 0.753 (ret=0.82 clf=0.65 rnk=0.66 grd=1.00). Best match: 'Visa Consumer Support'. Response grounded in corpus.",0.7529
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",skillup,escalated,bug,technical_bug,"Domain: hackerrank; product_area: skillup. Classified as 'bug'; intent='technical_bug'(0.30, rule). Risk level: high (always_escalate:(?:give|get)\s+me\s+(?:my\s+|the\s+|a\s+)?(?:money|refund)(?). Confidence: 0.864 (ret=0.83 clf=0.80 rnk=0.96 grd=1.00). High-risk content detected (always_escalate:(?:give|get)\s+me\s+(?:my\s+|the\s+|a\s+)?(?:money|refund)(?; always_escalate:refund\s+(?:asap|immediately|now|today|urgently); medium_risk_keyword:refund); requires human specialist.",0.8645
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",community,escalated,product_issue,out_of_scope,"Domain: hackerrank; product_area: community. Classified as 'product_issue'; intent='out_of_scope'(0.20, ml). Risk level: high (always_escalate:(?:give|get)\s+me\s+(?:my\s+|the\s+|a\s+)?(?:money|refund)(?). Confidence: 0.505 (ret=0.52 clf=0.65 rnk=0.00 grd=1.00). High-risk content detected (always_escalate:(?:give|get)\s+me\s+(?:my\s+|the\s+|a\s+)?(?:money|refund)(?); requires human specialist.",0.5049
"I am planning to start using HackerRank for hiring, can you help us with the infosec
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",community,escalated,product_issue,account_access,"Domain: hackerrank; product_area: community. Classified as 'product_issue'; intent='account_access'(0.17, ml). Risk level: high (always_escalate:infosec\s+(?:process|form|audit|compliance|forms?)). Confidence: 0.861 (ret=0.92 clf=0.65 rnk=0.99 grd=1.00). High-risk content detected (always_escalate:infosec\s+(?:process|form|audit|compliance|forms?)); requires human specialist.",0.8607
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",community,escalated,bug,technical_bug,"Domain: hackerrank; product_area: community. Classified as 'bug'; intent='technical_bug'(0.30, rule). Confidence: 0.500 (ret=0.40 clf=0.80 rnk=0.00 grd=1.00). Low composite confidence (0.500 < 0.65); escalated to avoid ungrounded response.",0.5001
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",community,escalated,product_issue,technical_bug,"Domain: hackerrank; product_area: community. Classified as 'product_issue'; intent='technical_bug'(0.29, ml). Risk level: high (always_escalate:none\s+of\s+the\s+(?:pages?|submissions?|challenges?|request). Confidence: 0.617 (ret=0.78 clf=0.65 rnk=0.04 grd=1.00). High-risk content detected (always_escalate:none\s+of\s+the\s+(?:pages?|submissions?|challenges?|request); requires human specialist.",0.6169
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom
connectivity. Due to which i am unable to take the test. I have done all through my way by
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",integrations,escalated,bug,technical_bug,"Domain: hackerrank; product_area: integrations. Classified as 'bug'; intent='technical_bug'(0.20, rule). Confidence: 0.500 (ret=0.40 clf=0.80 rnk=0.00 grd=1.00). Low composite confidence (0.500 < 0.65); escalated to avoid ungrounded response.",0.5
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for contacting support.

Your request requires assistance from a human support specialist.

We have escalated your case to the appropriate team.

You will be contacted shortly.",screen,escalated,product_issue,out_of_scope,"Domain: hackerrank; product_area: screen. Classified as 'product_issue'; intent='out_of_scope'(0.21, ml). Confidence: 0.565 (ret=0.45 clf=0.65 rnk=0.44 grd=1.00). Low composite confidence (0.565 < 0.65); escalated to avoid ungrounded response.",0.5647
